"Time","judi online","slot gacor","togel online","judi slot","situs judi","slot88","Pragmatic play","gacor hari ini"
"2025-12-28",0,34,0,0,0,0,0,0
"2026-01-04",0,31,0,0,0,0,0,0
"2026-01-11",0,64,0,0,0,0,0,0
"2026-01-18",0,86,0,0,0,0,0,0
"2026-01-25",0,76,0,0,0,0,0,0
"2026-02-01",0,99,0,0,0,0,0,0
"2026-02-08",0,100,0,0,0,0,0,0
"2026-02-15",0,62,0,0,0,0,0,0
"2026-02-22",0,36,0,0,0,0,0,0
"2026-03-01",0,75,0,0,0,0,0,0
"2026-03-08",0,54,0,0,0,0,0,0
"2026-03-15",0,28,0,0,0,0,0,0
"2026-03-22",0,43,0,0,0,0,0,0
"2026-03-29",0,46,0,0,0,0,0,0
"2026-04-05",0,17,0,0,0,0,0,0
"2026-04-12",0,32,0,0,0,0,0,0
"2026-04-19",0,24,0,0,0,0,0,0
"2026-04-26",0,35,0,0,0,0,0,0
"2026-05-03",0,24,0,0,0,0,0,0
"2026-05-10",0,32,7,0,0,0,0,0
"2026-05-17",0,27,0,0,0,0,0,0
"2026-05-24",0,25,0,0,0,0,0,0
"2026-05-31",3,25,1,5,1,1,0,1
"2026-06-07",2,24,1,1,2,1,0,1