"Time","judi online","slot gacor","togel online","judi slot","situs judi","slot88","pragmatic play","gacor hari ini"
"2019-12-01",0,0,0,0,0,0,0,0
"2020-01-01",0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0
"2020-03-01",0,0,0,0,0,0,0,0
"2020-04-01",0,0,0,0,0,0,0,0
"2020-05-01",0,0,0,0,0,0,0,0
"2020-06-01",0,0,0,0,0,0,0,0
"2020-07-01",0,0,0,0,0,0,0,0
"2020-08-01",0,0,0,0,0,0,0,0
"2020-09-01",0,0,0,0,0,0,0,0
"2020-10-01",0,0,0,0,0,0,0,0
"2020-11-01",0,0,0,0,0,0,0,0
"2020-12-01",0,0,0,0,0,0,0,0
"2021-01-01",0,0,0,0,0,0,0,0
"2021-02-01",0,0,0,0,0,0,0,0
"2021-03-01",0,0,0,0,0,0,0,0
"2021-04-01",0,0,0,0,0,0,0,0
"2021-05-01",0,0,0,0,0,0,0,0
"2021-06-01",0,0,0,0,0,0,0,0
"2021-07-01",0,0,0,0,0,0,0,0
"2021-08-01",0,0,0,0,0,0,0,0
"2021-09-01",0,0,0,0,0,0,0,0
"2021-10-01",0,0,0,0,0,0,0,0
"2021-11-01",0,0,0,0,0,0,0,0
"2021-12-01",0,0,0,0,0,0,0,0
"2022-01-01",0,0,0,0,0,0,0,0
"2022-02-01",0,0,0,0,0,0,0,0
"2022-03-01",0,1,0,0,0,0,0,0
"2022-04-01",0,1,0,0,0,1,0,0
"2022-05-01",1,1,0,1,0,1,0,0
"2022-06-01",0,1,0,1,0,1,0,0
"2022-07-01",0,1,0,2,0,1,0,0
"2022-08-01",1,1,0,1,0,0,0,0
"2022-09-01",0,1,0,1,0,0,0,0
"2022-10-01",0,1,0,0,0,0,0,0
"2022-11-01",0,1,0,1,0,0,0,0
"2022-12-01",0,1,0,1,0,0,0,0
"2023-01-01",0,1,0,1,0,0,0,0
"2023-02-01",0,1,0,1,0,0,0,0
"2023-03-01",0,1,0,0,0,0,0,0
"2023-04-01",1,1,0,1,0,1,0,0
"2023-05-01",0,2,0,1,0,1,0,0
"2023-06-01",0,1,0,0,0,0,0,0
"2023-07-01",0,1,0,1,0,0,0,0
"2023-08-01",0,1,0,0,0,0,0,0
"2023-09-01",0,1,0,0,0,0,0,0
"2023-10-01",0,1,0,0,0,0,0,0
"2023-11-01",0,1,0,0,0,0,0,0
"2023-12-01",0,1,0,0,0,0,0,0
"2024-01-01",0,2,0,0,0,0,0,0
"2024-02-01",0,1,0,0,0,0,0,0
"2024-03-01",0,1,0,0,0,0,0,0
"2024-04-01",0,1,0,0,0,1,0,0
"2024-05-01",0,2,0,0,0,1,0,0
"2024-06-01",0,2,0,0,0,1,0,0
"2024-07-01",0,5,0,0,0,0,0,0
"2024-08-01",0,5,0,0,0,0,0,0
"2024-09-01",1,6,0,1,0,0,0,0
"2024-10-01",1,8,0,1,0,0,0,0
"2024-11-01",1,11,0,2,2,0,0,0
"2024-12-01",1,19,0,4,2,0,0,1
"2025-01-01",1,31,0,5,3,1,0,1
"2025-02-01",3,47,0,8,4,1,0,8
"2025-03-01",1,56,0,2,1,1,0,1
"2025-04-01",2,72,0,4,3,1,0,1
"2025-05-01",2,73,1,4,3,1,0,1
"2025-06-01",2,100,2,5,3,1,0,1
"2025-07-01",2,74,3,6,3,1,0,0
"2025-08-01",2,45,2,6,3,1,1,1
"2025-09-01",1,25,0,2,1,1,0,1
"2025-10-01",0,4,0,1,0,0,0,0
"2025-11-01",0,3,0,0,0,0,0,0
"2025-12-01",0,3,0,0,0,0,0,0